time,temperature
1482832800,46.01
1482836400,45.6
1482840000,46.05
1482843600,46.49
1482847200,47.09
1482850800,48.14
1482854400,48.95
1482858000,49.57
1482861600,49.11
1482865200,46.75
1482868800,43.44
1482872400,39.79
1482876000,36.98
1482879600,35.07
1482883200,34.45
1482886800,33.82
1482890400,33.04
1482894000,32.49
1482897600,32.35
1482901200,32.31
1482904800,32.25
1482908400,31.98
1482912000,31.4
1482915600,31.16
1482919200,31.14
1482922800,30.83
1482926400,30.68
1482930000,31.62
1482933600,33.02
1482937200,34.43
1482940800,35.38
1482944400,36.04
1482948000,36.01
1482951600,35.3
1482955200,33.93
1482958800,32.82
1482962400,31.73
1482966000,31.11
1482969600,30.93
1482973200,30.37
1482976800,29.95
1482980400,29.18
1482984000,28.44
1482987600,28.03
1482991200,27.3
1482994800,27.18
1482998400,26.98
1483002000,27.02
1483005600,27.01
1483009200,26.74
1483012800,27.36
1483016400,28.53
1483020000,29.92
1483023600,31.39
1483027200,32.3
1483030800,32.12
1483034400,32.79
1483038000,32.47
1483041600,32.69
1483045200,32.37
1483048800,32.39
1483052400,31.87
1483056000,31.8
1483059600,31.5
1483063200,31.45
1483066800,30.67
1483070400,29.65
1483074000,30.19
1483077600,29.51
1483081200,30.2
1483084800,29.92
1483088400,30.13
1483092000,30.01
1483095600,29.15
1483099200,28.82
1483102800,29.18
1483106400,31.05
1483110000,33.24
1483113600,33.74
1483117200,33.82
1483120800,33.35
1483124400,33.66
1483128000,32.1
1483131600,29.94
1483135200,28.71
1483138800,28.23
1483142400,28.27
1483146000,27.34
1483149600,26.85
1483153200,26.15
1483156800,25.88
1483160400,25.28
1483164000,24.89
1483167600,24.65
1483171200,24.07
1483174800,24.32
1483178400,23.63
1483182000,23.27
1483185600,23.09
1483189200,23.23
1483192800,25.89
1483196400,28.48
1483200000,29.76
1483203600,31.62
1483207200,32.55
1483210800,33.21
1483214400,33.34
1483218000,33.17
1483221600,33.52
1483225200,32.89
1483228800,33.11
1483232400,33.26
1483236000,33.13
1483239600,32.84
1483243200,32.43
1483246800,33.06
1483250400,33.3
1483254000,33.34
1483257600,33.21
1483261200,32.76
1483264800,32.11
1483268400,30.67
1483272000,30.34
1483275600,31.96
1483279200,34.52
1483282800,36.18
1483286400,37.05
1483290000,37.55
1483293600,37.43
1483297200,35.89
1483300800,34.2
1483304400,31.95
1483308000,28.79
1483311600,27.34
1483315200,26.78
1483318800,25.92
1483322400,25.19
1483326000,24.15
1483329600,23.11
1483333200,22.58
1483336800,21.68
1483340400,21.01
1483344000,20.38
1483347600,20.22
1483351200,20.03
1483354800,19.73
1483358400,20.05
1483362000,21.7
1483365600,24.9
1483369200,27.85
1483372800,30.7
1483376400,33.03
1483380000,33.72
1483383600,34.47
1483387200,34.16
1483390800,33.83
1483394400,33.17
1483398000,31.7
1483401600,31.47
1483405200,31.72
1483408800,32
1483412400,32.09
1483416000,32.04
1483419600,32.33
1483423200,32.46
1483426800,32.61
1483430400,32.79
